AGT001+1      >600     <0.01    <0.01    1.15     >600     0.02     
AGT001+2      >600     <0.01    <0.01    4.90     >600     0.04     
AGT002+1      >600     >600     segmf    2.49     >600     0.14     
AGT002+2      >600     >600     segmf    8.19     >600     0.19     
AGT003+1      >600     >600     segmf    >600     >600     508.71   
AGT003+2      >600     >600     segmf    >600     >600     0.26     
AGT004+1      >600     >600     segmf    >600     >600     0.19     
AGT004+2      >600     >600     segmf    >600     >600     0.29     
AGT005+1      >600     >600     segmf    >600     >600     >600     
AGT005+2      >600     >600     segmf    >600     >600     0.27     
AGT006+1      >600     >600     segmf    >600     >600     >600     
AGT006+2      >600     >600     segmf    >600     >600     >600     
AGT007+1      >600     >600     segmf    >600     >600     >600     
AGT007+2      >600     >600     segmf    >600     >600     >600     
AGT008+1      >600     >600     segmf    >600     >600     >600     
AGT008+2      >600     >600     segmf    >600     >600     >600     
AGT009+1      >600     >600     segmf    >600     >600     >600     
AGT009+2      >600     >600     segmf    >600     >600     >600     
AGT010+1      >600     >600     segmf    >600     >600     >600     
AGT010+2      >600     >600     segmf    >600     >600     >600     
AGT011+1      >600     >600     segmf    >600     >600     >600     
AGT011+2      >600     >600     segmf    >600     >600     >600     
AGT012+1      >600     >600     segmf    >600     >600     >600     
AGT012+2      >600     >600     segmf    >600     >600     >600     
AGT013+1      >600     >600     segmf    >600     >600     >600     
AGT013+2      >600     >600     segmf    >600     >600     >600     
AGT014+1      >600     >600     segmf    >600     >600     >600     
AGT014+2      >600     >600     >600     >600     >600     >600     
AGT015+1      >600     >600     segmf    >600     >600     0.18     
AGT015+2      >600     >600     segmf    >600     >600     0.30     
AGT016+1      >600     >600     segmf    >600     >600     >600     
AGT016+2      >600     >600     segmf    >600     >600     >600     
AGT017+1      >600     >600     segmf    >600     >600     0.20     
AGT017+2      >600     >600     segmf    484.74   >600     0.27     
AGT018+1      >600     >600     segmf    >600     >600     >600     
AGT018+2      >600     >600     segmf    >600     >600     >600     
AGT019+1      >600     >600     segmf    >600     >600     >600     
AGT019+2      >600     >600     segmf    >600     >600     >600     
AGT020+1      >600     >600     segmf    >600     >600     >600     
AGT020+2      >600     >600     segmf    >600     >600     >600     
AGT021+1      >600     >600     segmf    >600     >600     >600     
AGT021+2      >600     >600     segmf    >600     >600     >600     
AGT022+1      >600     >600     segmf    >600     >600     >600     
AGT022+2      >600     >600     segmf    >600     >600     >600     
AGT023+1      >600     >600     segmf    >600     >600     >600     
AGT023+2      >600     >600     segmf    >600     >600     >600     
AGT024+1      >600     >600     segmf    >600     >600     >600     
AGT024+2      >600     >600     segmf    >600     >600     >600     
AGT025+1      >600     >600     segmf    >600     >600     >600     
AGT025+2      >600     >600     segmf    >600     >600     >600     
AGT026+1      >600     >600     segmf    >600     >600     >600     
AGT026+2      >600     >600     segmf    >600     >600     >600     
ALG014+1      >600     >600     stack    stack    >600     >600     
ALG015+1      >600     >600     >600     >600     >600     >600     
ALG016+1      >600     stack    stack    stack    >600     >600     
ALG017+1      >600     stack    stack    stack    0.01     >600     
ALG018+1      >600     >600     segmf    >600     >600     >600     
ALG019+1      >600     >600     segmf    >600     >600     >600     
ALG020+1      >600     >600     >600     >600     >600     >600     
ALG021+1      >600     >600     >600     >600     >600     stack    
ALG022+1      >600     >600     >600     >600     >600     stack    
ALG023+1      >600     >600     >600     >600     >600     >600     
ALG024+1      >600     >600     >600     stack    >600     >600     
ALG025+1      >600     >600     >600     >600     >600     >600     
ALG026+1      >600     >600     >600     >600     >600     stack    
ALG027+1      >600     >600     >600     >600     >600     stack    
ALG028+1      3.95     stack    stack    stack    0.01     0.03     
ALG029+1      >600     >600     segmf    >600     >600     >600     
ALG030+1      >600     >600     segmf    >600     >600     >600     
ALG031+1      >600     >600     >600     >600     >600     >600     
ALG032+1      >600     >600     >600     >600     >600     stack    
ALG033+1      >600     >600     >600     >600     >600     stack    
ALG034+1      >600     >600     >600     >600     >600     >600     
ALG035+1      >600     >600     >600     >600     >600     >600     
ALG036+1      >600     stack    stack    stack    >600     >600     
ALG037+1      >600     >600     >600     >600     >600     >600     
ALG038+1      >600     stack    stack    stack    >600     >600     
ALG039+1      >600     stack    stack    stack    0.01     390.22   
ALG040+1      >600     >600     segmf    >600     >600     >600     
ALG041+1      >600     >600     segmf    >600     >600     >600     
ALG042+1      >600     >600     >600     >600     >600     >600     
ALG043+1      >600     >600     >600     >600     >600     stack    
ALG044+1      >600     >600     >600     >600     >600     stack    
ALG045+1      >600     >600     >600     >600     stack    >600     
ALG046+1      >600     stack    >600     stack    stack    >600     
ALG047+1      >600     stack    stack    stack    stack    stack    
ALG048+1      >600     >600     >600     >600     >600     >600     
ALG049+1      >600     stack    stack    >600     >600     stack    
ALG050+1      >600     stack    stack    >600     >600     >600     
ALG051+1      >600     stack    stack    >600     >600     stack    
ALG052+1      >600     >600     stack    >600     >600     stack    
ALG053+1      >600     >600     stack    >600     >600     stack    
ALG054+1      >600     stack    stack    >600     stack    >600     
ALG055+1      >600     stack    stack    >600     stack    stack    
ALG056+1      >600     >600     stack    >600     >600     stack    
ALG057+1      >600     >600     stack    >600     >600     stack    
